index	t вып-обр	ПСН гр.	чист расход C	чист расход Si	температура первая	эл. энергия (интенс.)	сыпуч известь РП	сыпуч  кокс. мелочь КМ1	сыпуч  шпат плав.	химсталь первый C_1	химсталь первый N_1	химсталь первый S_1	химсталь первый Si_1	химсталь последний C	химсталь последний Ca	химсталь последний Mn	химсталь последний N	химсталь последний S	химсталь последний V	химшлак первый Al2O3_1	химшлак первый CaO_1	химшлак первый FeO_1	химшлак первый MgO_1	химшлак первый MnO_1	химшлак первый R_1	химшлак первый SiO2_1	химшлак последний FeO	химшлак последний MgO	химшлак последний MnO
589	0.18888888888888888	0.16023605733826163	0.46063685261173337	0.14658669425484566	0.525	0.1806501268607028	0.20630921951560505	0.4430629055202747	0.6376103005220085	0.6153846153846154	0.30769230769230765	0.3823529411764706	0.9004629629629629	0.6194029850746271	0.030998864553459755	0.589473684210527	0.18181818181818174	0.6666666666666667	0.2093023255813953	0.05000000000000001	0.6472868217054265	0.007633587786259542	0.39087947882736157	0.04556962025316455	0.2702702702702702	0.6785714285714287	0.31818181818181823	0.1806853582554517	0.035460992907801414
1345	0.2777777777777778	0.2912029183003263	0.5484848064766552	0.3236289016901025	0.45	0.21445191584054976	0.2667735408648426	0.5110678560041149	0.15256562583608152	0.49590834697217684	0.3846153846153845	0.20588235294117643	0.7037037037037036	0.6343283582089555	0.036334810749601903	0.6421052631578955	0.4545454545454546	0.5000000000000001	0.18604651162790692	0.26666666666666666	0.45736434108527135	0.022900763358778626	0.42671009771986973	0.035443037974683546	0.24324324324324326	0.5357142857142857	0.09090909090909091	0.4267912772585669	0.07092198581560284
1663	0.12222222222222222	0.27665851545779474	0.5507444271930797	0.27361731977508197	0.26875	0.1880049602436252	0.18549668053083176	0.5251378457593922	0.2027426611484188	0.49590834697217684	0.5384615384615383	0.23529411764705882	0.7430555555555555	0.6417910447761196	0.036334810749601903	0.6000000000000008	0.3636363636363636	0.5000000000000001	0.1395348837209303	0.24166666666666667	0.5542635658914729	0.049618320610687015	0.2931596091205212	0.0379746835443038	0.2702702702702702	0.5669642857142858	0.2272727272727273	0.22741433021806853	0.07092198581560284
1665	0.24444444444444444	0.11823886748749997	0.4140928246645225	0.1805807466667164	0.225	0.17848079436299327	0.1479866592394885	0.3938179413768043	0.26964537489820184	0.6088379705400983	0.3846153846153845	0.17647058823529416	0.8194444444444443	0.6492537313432838	0.021951748223476567	0.4421052631578953	0.3636363636363636	0.4444444444444445	0.16279069767441853	0.15	0.5891472868217056	0.015267175572519085	0.2019543973941368	0.027848101265822784	0.5135135135135135	0.3214285714285715	0.04545454545454546	0.1308411214953271	0.04255319148936171
1666	0.2222222222222222	0.11823886748749997	0.20569479871354107	0.1282645890875437	0.23125	0.17653124489214947	0.13191093582891278	0.1769055993162797	0.4090260285435832	0.8019639934533551	0.3846153846153845	0.17647058823529416	0.8749999999999999	0.5223880597014926	0.036334810749601903	0.5052631578947374	0.27272727272727276	0.38888888888888895	0.18604651162790692	0.18333333333333332	0.7635658914728681	0.007633587786259542	0.247557003257329	0.020253164556962026	0.4324324324324324	0.53125	0.09090909090909091	0.16822429906542055	0.06382978723404255
1782	0.34444444444444444	0.30568872766785504	0.4265276699567484	0.23233064897881642	0.48125	0.29848005755658746	0.17936403342453355	0.40085293625444296	0.25291969646075607	0.5613747954173486	0.6153846153846153	0.2647058823529412	0.7685185185185185	0.5970149253731345	0.06474350780120317	0.43157894736842156	0.4545454545454546	0.4444444444444445	0.18604651162790692	0.041666666666666664	0.6027131782945737	0.0038167938931297713	0.241042345276873	0.007594936708860759	0.45945945945945943	0.37053571428571425	0.1363636363636364	0.1370716510903427	0.028368794326241138
1783	0.3888888888888889	0.28525908084074525	0.4310053232782522	0.18717595507144458	0.2875	0.20863924625904956	0.22661525135753266	0.3985079379618967	0.4257517069810289	0.5351882160392798	0.5384615384615383	0.32352941176470584	0.8171296296296295	0.5746268656716419	0.036334810749601903	0.5473684210526322	0.4545454545454546	0.7222222222222221	0.18604651162790692	0.14166666666666664	0.45348837209302334	0.04580152671755725	0.21498371335504884	0.06329113924050632	0.3243243243243243	0.40625	0.09090909090909091	0.24922118380062305	0.07801418439716312
1784	0.37777777777777777	0.2436137051539929	0.4839192636131751	0.3247447576575691	0.525	0.21025532472690084	0.23533178706786845	0.4559603961292789	0.3532737670854306	0.5171849427168577	0.5384615384615383	0.29411764705882354	0.7060185185185184	0.6119402985074629	0.036334810749601903	0.5368421052631586	0.5454545454545454	0.5555555555555555	0.18604651162790692	0.15833333333333333	0.498062015503876	0.011450381679389315	0.22801302931596093	0.020253164556962026	0.3243243243243243	0.4375	0.18181818181818185	0.2897196261682243	0.06382978723404255
1785	0.35555555555555557	0.2014736072401548	0.40761894199844734	0.27639030512706997	0.33125	0.22837466373320078	0.25137607267891937	0.3738854558901615	0.49822964687662724	0.5711947626841244	0.6153846153846153	0.2647058823529412	0.7476851851851851	0.5149253731343284	0.05071787327572726	0.5368421052631586	0.4545454545454546	0.5555555555555555	0.18604651162790692	0.11666666666666665	0.6647286821705427	0.007633587786259542	0.24429967426710097	0.035443037974683546	0.2702702702702702	0.6696428571428571	0.3636363636363637	0.10903426791277258	0.049645390070921995
1818	0.5111111111111111	0.16011735050430181	0.5303246645225684	0.14314960805654828	0.4125	0.1901864859126914	0.1143241206074237	0.5040328611264762	0.18601698271097303	0.5040916530278233	0.5384615384615383	0.20588235294117643	0.8449074074074073	0.6343283582089555	0.05071787327572726	0.48421052631579004	0.5454545454545454	0.5555555555555555	0.18604651162790692	0.23333333333333336	0.7500000000000001	0.015267175572519085	0.16286644951140067	0.010126582278481011	0.4324324324324324	0.5133928571428571	0.1363636363636364	0.19937694704049844	0.021276595744680857
1823	0.36666666666666664	0.16582688671414128	0.5301444493734058	0.22660355986221065	0.4	0.1759707969003847	0.17642232608558098	0.5157578525892073	0.18601698271097303	0.5122749590834699	0.6153846153846153	0.29411764705882354	0.8124999999999999	0.6119402985074629	0.05071787327572726	0.5157894736842111	0.5454545454545454	0.5555555555555555	0.1395348837209303	0.2833333333333333	0.6569767441860467	0.011450381679389315	0.20521172638436486	0.012658227848101266	0.3783783783783784	0.4955357142857143	0.31818181818181823	0.2367601246105919	0.05673758865248226
1867	0.35555555555555557	0.11823886748749997	0.6286458910945991	0.26152610436641366	0.525	0.19762653380393058	0.1881759677659277	0.6142477808761482	0.3923003501061374	0.42880523731587566	0.3846153846153845	0.3529411764705882	0.7476851851851851	0.6119402985074629	0.021951748223476567	0.4105263157894742	0.3636363636363636	0.6666666666666667	0.16279069767441853	0.24166666666666667	0.618217054263566	0.0267175572519084	0.254071661237785	0.03291139240506329	0.35135135135135137	0.5178571428571429	0.40909090909090917	0.19937694704049844	0.028368794326241138
1871	0.2777777777777778	0.09040216363815143	0.5922354996118443	0.30597922465244926	0.5625	0.2100806693489076	0.12923164859381683	0.5567953227087661	0.3421233147938001	0.46644844517184947	0.4615384615384615	0.20588235294117643	0.7199074074074073	0.5447761194029852	0.021951748223476567	0.48421052631579004	0.4545454545454546	0.5555555555555555	0.16279069767441853	0.275	0.6375968992248063	0.011450381679389315	0.2931596091205212	0.025316455696202528	0.35135135135135137	0.53125	0.27272727272727276	0.3426791277258567	0.06382978723404255
1874	0.4444444444444444	0.19724783296239493	0.5300751358544971	0.28842947501486765	0.40625	0.20408317800655637	0.13057129221136482	0.5040328611264762	0.26964537489820184	0.4942716857610476	0.4615384615384615	0.23529411764705882	0.7291666666666666	0.5298507462686568	0.030884535366396446	0.4421052631578953	0.4545454545454546	0.4444444444444445	0.16279069767441853	0.2083333333333333	0.5019379844961241	0.022900763358778626	0.26384364820846906	0.020253164556962026	0.3243243243243243	0.4375	0.2272727272727273	0.19937694704049844	0.021276595744680857
1877	0.24444444444444444	0.1953744493318716	0.22878313186203836	0.1467324217132835	0.4875	0.21281732699437472	0.14128844115174863	0.18628559248646456	0.5539819083347798	0.8330605564648118	0.23076923076923075	0.20588235294117643	0.8773148148148148	0.5746268656716419	0.07948399832797794	0.5789473684210533	0.27272727272727276	0.3333333333333333	0.18604651162790692	0.2083333333333333	0.7286821705426356	0.011450381679389315	0.1921824104234528	0.020253164556962026	0.45945945945945943	0.48214285714285715	0.18181818181818185	0.17445482866043616	0.035460992907801414
